body,body_id_for_llm,mixtral,mixtral_inference_time
"“There are many values that we share in common with the Green Party and I am committed to working with them,” NDP Leader David Eby said Saturday.",1,"{""themes"": [""governments_and_governance"", ""environment_and_energy""]}",45.19386300002225
"Customs and Border Protection, in the last fiscal year, U.S. border patrol officers stopped people 23,721 times trying to cross illegally from Canada, more than double the 10,021 the year before.",2,"{""themes"": [""law_and_crime"", ""immigration""]}",1.8194502498954535
The Conservatives have been leading a procedural protest since Sept. 26 over the Liberal government’s refusal to fully comply with a June House of Commons motion calling on it to release documents related to a green technology fund.,3,"{""themes"": [""governments_and_governance"", ""environment_and_energy""]}",1.9946301248855889
American voters and the rest of the world are about to get to know Minnesota Gov.,4,"{""themes"": [""governments_and_governance""]}",1.5432690000161529
The Liberal Party declined to say whether it would change the rules for the leadership race and defended its existing policies for members.,5,"{""themes"": [""governments_and_governance""]}",1.5548909581266344
“We want to bring pharmaceuticals back to the country.,6,"{""themes"": [""economy_and_labour"", ""health_and_social_services""]}",1.9801619581412524
"Spending on hobbies, toys and games scaled back notably after Nov. 21, wrote RBC economist Carrie Freestone — the day the tax break was announced.",7,"{""themes"": [""economy_and_labour""]}",1.624560832977295
The crowd cheered as he got back up and pumped his fist.,8,"{""themes"": [""culture_and_nationalism""]}",1.5831365420017391
"“The redesign is focused on the delivery of high-quality services and prioritizing the safety, protection and needs of children, youth and families,” the government said in response to questions from Global News.",9,"{""themes"": [""health_and_social_services""]}",1.627415250055492
"“I’m not yet convinced on Mark Carney,” said one MP who, like many others, believes the party would be best served by a new leader with broad experience in the business sector and who has political experience and who would also move the Liberals to the centre of the political spectrum.",10,"{""themes"": [""economy_and_labour"", ""governments_and_governance""]}",2.1095589159522206
Miller is one of several ministers who fanned out across the country Wednesday to make announcements but faced a wave of questions about Trudeau’s political future.,11,"{""themes"": [""governments_and_governance""]}",1.62104258290492
"There’s also a problem with barely discernible markings, Preisler added.",12,"{""themes"": [""null""]}",1.2496002078987658
"Trump's last vice president wouldn't let him cancel the election, refusing Trump's pressure, and defying the demands of an angry crowd that called for his hanging on Jan.",13,"{""themes"": [""governments_and_governance"", ""law_and_crime""]}",2.0310070829000324
"On Thursday, high profile BC United MLAs Todd Stone and Shirley Bond announced they would withdraw from the coming election; Mr.",14,"{""themes"": [""governments_and_governance""]}",1.5658205829095095
"And this garage isn’t exactly heated, but they, other than some staining and some, you know, wear and tear, that probably came from having them as kids, they’re actually pretty well preserved.”",15,"{""themes"": [""null""]}",1.3259347500279546
