body,body_id_for_llm,mixtral,mixtral_inference_time
"“There are many values that we share in common with the Green Party and I am committed to working with them,” NDP Leader David Eby said Saturday.",1,"{""themes"": [""governments_and_governance"", ""environment_and_energy""]}",42.70238425000571
"Customs and Border Protection, in the last fiscal year, U.S. border patrol officers stopped people 23,721 times trying to cross illegally from Canada, more than double the 10,021 the year before.",2,"{""themes"": [""law_and_crime"", ""immigration""]}",1.7995096659869887
The Conservatives have been leading a procedural protest since Sept. 26 over the Liberal government’s refusal to fully comply with a June House of Commons motion calling on it to release documents related to a green technology fund.,3,"{""themes"": [""governments_and_governance"", ""environment_and_energy""]}",1.9823573339963332
American voters and the rest of the world are about to get to know Minnesota Gov.,4,"{""themes"": [""governments_and_governance""]}",1.5315793339977972
The Liberal Party declined to say whether it would change the rules for the leadership race and defended its existing policies for members.,5,"{""themes"": [""governments_and_governance""]}",1.5496631659916602
“We want to bring pharmaceuticals back to the country.,6,"{""themes"": [""economy_and_labour"", ""health_and_social_services""]}",1.975854333024472
"Spending on hobbies, toys and games scaled back notably after Nov. 21, wrote RBC economist Carrie Freestone — the day the tax break was announced.",7,"{""themes"": [""economy_and_labour""]}",1.6208610419998877
The crowd cheered as he got back up and pumped his fist.,8,"{""themes"": [""culture_and_nationalism""]}",1.58075766696129
"“The redesign is focused on the delivery of high-quality services and prioritizing the safety, protection and needs of children, youth and families,” the government said in response to questions from Global News.",9,"{""themes"": [""health_and_social_services""]}",1.6234825000283308
"“I’m not yet convinced on Mark Carney,” said one MP who, like many others, believes the party would be best served by a new leader with broad experience in the business sector and who has political experience and who would also move the Liberals to the centre of the political spectrum.",10,"{""themes"": [""economy_and_labour"", ""governments_and_governance""]}",2.0946022089920007
Miller is one of several ministers who fanned out across the country Wednesday to make announcements but faced a wave of questions about Trudeau’s political future.,11,"{""themes"": [""governments_and_governance""]}",1.6103308330057189
"There’s also a problem with barely discernible markings, Preisler added.",12,"{""themes"": [""null""]}",1.2404721669736318
"Trump's last vice president wouldn't let him cancel the election, refusing Trump's pressure, and defying the demands of an angry crowd that called for his hanging on Jan.",13,"{""themes"": [""governments_and_governance"", ""law_and_crime""]}",2.025291665981058
"On Thursday, high profile BC United MLAs Todd Stone and Shirley Bond announced they would withdraw from the coming election; Mr.",14,"{""themes"": [""governments_and_governance""]}",1.5628078749869019
"And this garage isn’t exactly heated, but they, other than some staining and some, you know, wear and tear, that probably came from having them as kids, they’re actually pretty well preserved.”",15,"{""themes"": [""null""]}",1.3255225000320934
"She found his version rather implausible and, on the contrary, found that the version of the defendant, Madame Charette, was credible.”",16,"{""themes"": [""law_and_crime""]}",1.5682987499749288
"Gage, a lawyer with the group, said, “2021 was a wake-up call in B.C., where we had the heat dome in which more than 600 people died.",17,"{""themes"": [""environment_and_energy"", ""health_and_social_services""]}",1.9805657920078374
"In that respect, Sheldrick said it likely means less to passenger-vehicle transportation, where electric vehicles seem to be a better fit, and more to uses that require more power.",18,"{""themes"": [""technology"", ""environment_and_energy""]}",1.7191765840398148
"And while Liberal MPs were promised some sort of marketing campaign to boost their fortunes, the Conservatives produced slick TV ads that aired on legacy television networks.",19,"{""themes"": [""governments_and_governance"", ""technology""]}",1.8133352499571629
Carney launched his campaign in a small room packed with supporters and several Liberal MPs.,20,"{""themes"": [""governments_and_governance""]}",1.534696791030001
"“This abscondence of funds is concerning to KingSett that given the fact that (the borrowers) are indebted to KingSett for a combined $220,951,550.21” on the Richmond and Burnaby projects, the petition says.",21,"{""themes"": [""law_and_crime"", ""economy_and_labour""]}",2.068041207967326
"A majority also doubt his mental capability to be president, though that is also a weakness for Trump.",22,"{""themes"": [""governments_and_governance""]}",1.5503977079642937
It would be like a rose placed on each grave.”,23,"{""themes"": [""null""]}",1.2047895830473863
"The provincial government, meanwhile, has been participating in talks with Hypertec and city of Montreal officials on the issue, and a spokesperson for Environment Minister Benoit Charette said the minister is open to the idea of his department contributing to the purchase of the lands.",24,"{""themes"": [""public_lands_and_agriculture"", ""governments_and_governance""]}",2.2014052079757676
"""It's nice to see a lot of people visiting, bringing their fashion and then adopting some styles as well.",25,"{""themes"": [""culture_and_nationalism""]}",1.6028721670154482
"The appointment follows a decision by Liberals to focus on affordability and economic issues ahead of the federal election, expected at any time in the next year.",26,"{""themes"": [""economy_and_labour"", ""governments_and_governance""]}",2.0136408749967813
"Earlier Saturday, Alberta Premier Danielle Smith told her provincewide radio call-in show that she'd like to see bus tours organized for evacuated residents of Jasper so they can see the damage the wildfire did to their town for themselves, and so they'll know what to expect when they're eventually allowed to return home.",27,"{""themes"": [""public_lands_and_agriculture"", ""governments_and_governance""]}",2.2726877920213155
"Lebanon’s Health Ministry said more than 2,900 people have been killed since Oct. 8, 2023, when Hezbollah began firing rockets into Israel, drawing retaliation.",28,"{""themes"": [""law_and_crime"", ""health_and_social_services"", ""international_affairs_and_defense""]}",2.649315083050169
"“Despite efforts to assist, it is with great sadness that we confirm the officer has passed away,” the memo said.",29,"{""themes"": [""law_and_crime"", ""null""]}",1.6542222499847412
"The new customs rule applies to truck convoys chartered by the United Nations to take aid from Jordan to Gaza via Israel, seven people familiar with the matter said.",30,"{""themes"": [""international_affairs_and_defense"", ""economy_and_labour""]}",2.217034583038185
Marina Homes' Fort Erie development is listed on the Ontario Builder Registry as Marina (Green Acres) Development Inc.,31,"{""themes"": [""public_lands_and_agriculture"", ""governments_and_governance""]}",2.0989073329837993
Trudeau had been at odds for “the past number of weeks.”,32,"{""themes"": [""governments_and_governance""]}",1.544768959050998
He’s also consistently losing popularity polls to Conservative Leader Pierre Poilievre — a phenomenon that didn’t really happen with prior Conservative leaders Andrew Scheer and Erin O’Toole.,33,"{""themes"": [""governments_and_governance""]}",1.623592332995031
"Two months later, it was awarded a $7.3-million default judgment in that case when no defence was filed.",34,"{""themes"": [""law_and_crime""]}",1.503991750010755
You can check Vancouver community centre holiday hours at vancouver.ca.,35,"{""themes"": [""null""]}",1.229868417023681
"“It’s very similar to Gavin Newsom,” he continues, comparing Trudeau to the democratic governor of California, a traditionally progressive stronghold.",36,"{""themes"": [""governments_and_governance""]}",1.6163685420178808
