body,body_id_for_llm,public_lands_and_agriculture,public_lands_and_agriculture_inference_time,culture_and_nationalism,culture_and_nationalism_inference_time,law_and_crime,law_and_crime_inference_time,immigration,immigration_inference_time,governments_and_governance,governments_and_governance_inference_time,rights_liberties_minorities_discrimination,rights_liberties_minorities_discrimination_inference_time,health_and_social_services,health_and_social_services_inference_time,education,education_inference_time,economy_and_labour,economy_and_labour_inference_time,technology,technology_inference_time,international_affairs_and_defense,international_affairs_and_defense_inference_time,environment_and_energy,environment_and_energy_inference_time
"“There are many values that we share in common with the Green Party and I am committed to working with them,” NDP Leader David Eby said Saturday.",1,"{""themes"": null}",2.360714912414551,"{""themes"": null}",4.320394039154053,"{""themes"": null}",4.339366912841797,"{""themes"": null}",4.313684940338135,"{""themes"": ""governments_and_governance""}",5.2900941371917725,"{""themes"": null}",4.674896001815796,"{""themes"": null}",4.342885255813599,"{""themes"": null}",4.316943168640137,"{""themes"": null}",4.676781892776489,"{""themes"": null}",4.008436918258667,"{""themes"": null}",4.313205003738403,"{""themes"": null}",4.321974039077759
"Customs and Border Protection, in the last fiscal year, U.S. border patrol officers stopped people 23,721 times trying to cross illegally from Canada, more than double the 10,021 the year before.",2,"{""themes"": null}",1.5167279243469238,"{""themes"": null}",1.5179388523101807,"{""themes"": ""law_and_crime""}",1.8604626655578613,"{""themes"": ""immigration""}",1.6866707801818848,"{""themes"": ""governments_and_governance""}",2.1221158504486084,"{""themes"": ""null""}",1.608976125717163,"{""themes"": null}",1.5184788703918457,"{""themes"": null}",1.5173580646514893,"{""themes"": ""null""}",1.6053011417388916,"{""themes"": null}",1.5170950889587402,"{""themes"": [""international_affairs_and_defense""]}",2.031191825866699,"{""themes"": null}",1.5188112258911133
The Conservatives have been leading a procedural protest since Sept. 26 over the Liberal government’s refusal to fully comply with a June House of Commons motion calling on it to release documents related to a green technology fund.,3,"{""themes"": null}",1.5166070461273193,"{""themes"": null}",1.5151262283325195,"{""themes"": ""law_and_crime""}",1.8669681549072266,"{""themes"": null}",1.5140478610992432,"{""themes"": ""governments_and_governance""}",2.120251178741455,"{""themes"": null}",1.5194816589355469,"{""themes"": null}",1.517599105834961,"{""themes"": null}",1.5162129402160645,"{""themes"": null}",1.518031120300293,"{""themes"": [""technology""]}",1.602351188659668,"{""themes"": null}",1.5189530849456787,"{""themes"": [""environment_and_energy""]}",1.7733349800109863
American voters and the rest of the world are about to get to know Minnesota Gov.,4,"{""themes"": null}",1.232625961303711,"{""themes"": null}",1.2376930713653564,"{""themes"": null}",1.234893798828125,"{""themes"": null}",1.2317941188812256,"{""themes"": ""governments_and_governance""}",1.8346409797668457,"{""themes"": null}",1.2406120300292969,"{""themes"": null}",1.2363193035125732,"{""themes"": null}",1.2326247692108154,"{""themes"": null}",1.240490198135376,"{""themes"": null}",1.2362720966339111,"{""themes"": null}",1.235889196395874,"{""themes"": null}",1.2337090969085693
The Liberal Party declined to say whether it would change the rules for the leadership race and defended its existing policies for members.,5,"{""themes"": null}",1.2432997226715088,"{""themes"": null}",1.238440990447998,"{""themes"": null}",1.240170955657959,"{""themes"": null}",1.2402997016906738,"{""themes"": ""governments_and_governance""}",1.8425979614257812,"{""themes"": null}",1.2445077896118164,"{""themes"": null}",1.2461271286010742,"{""themes"": null}",1.2403669357299805,"{""themes"": null}",1.2423360347747803,"{""themes"": null}",1.2410852909088135,"{""themes"": null}",1.2421481609344482,"{""themes"": null}",1.2428772449493408
“We want to bring pharmaceuticals back to the country.,6,"{""themes"": null}",1.2287850379943848,"{""themes"": null}",1.2281131744384766,"{""themes"": null}",1.233091115951538,"{""themes"": null}",1.2258529663085938,"{""themes"": ""null""}",1.3190810680389404,"{""themes"": null}",1.230968952178955,"{""themes"": ""health_and_social_services""}",1.5794508457183838,"{""themes"": null}",1.230910301208496,"{""themes"": ""economy_and_labour""}",1.6615171432495117,"{""themes"": null}",1.2273221015930176,"{""themes"": null}",1.2305290699005127,"{""themes"": null}",1.2293798923492432
"Spending on hobbies, toys and games scaled back notably after Nov. 21, wrote RBC economist Carrie Freestone — the day the tax break was announced.",7,"{""themes"": null}",1.517780065536499,"{""themes"": null}",1.5161290168762207,"{""themes"": null}",1.5177180767059326,"{""themes"": null}",1.5113699436187744,"{""themes"": null}",1.521238088607788,"{""themes"": null}",1.5180280208587646,"{""themes"": null}",1.518498182296753,"{""themes"": null}",1.516935110092163,"{""themes"": ""economy_and_labour""}",1.949042797088623,"{""themes"": null}",1.513427972793579,"{""themes"": null}",1.5203907489776611,"{""themes"": null}",1.5168299674987793
The crowd cheered as he got back up and pumped his fist.,8,"{""themes"": null}",1.2320990562438965,"{""themes"": null}",1.2294600009918213,"{""themes"": null}",1.2339320182800293,"{""themes"": null}",1.228557825088501,"{""themes"": null}",1.233112096786499,"{""themes"": null}",1.2333030700683594,"{""themes"": null}",1.2346830368041992,"{""themes"": null}",1.2315590381622314,"{""themes"": null}",1.2342157363891602,"{""themes"": null}",1.2299797534942627,"{""themes"": null}",1.2304420471191406,"{""themes"": null}",1.2311670780181885
"“The redesign is focused on the delivery of high-quality services and prioritizing the safety, protection and needs of children, youth and families,” the government said in response to questions from Global News.",9,"{""themes"": null}",1.5136048793792725,"{""themes"": null}",1.5128300189971924,"{""themes"": null}",1.5161669254302979,"{""themes"": null}",1.512712001800537,"{""themes"": ""governments_and_governance""}",2.1179511547088623,"{""themes"": null}",1.5157580375671387,"{""themes"": ""health_and_social_services""}",1.8640072345733643,"{""themes"": null}",1.5138227939605713,"{""themes"": null}",1.518150806427002,"{""themes"": null}",1.5163240432739258,"{""themes"": null}",1.5157532691955566,"{""themes"": null}",1.5135669708251953
"“I’m not yet convinced on Mark Carney,” said one MP who, like many others, believes the party would be best served by a new leader with broad experience in the business sector and who has political experience and who would also move the Liberals to the centre of the political spectrum.",10,"{""themes"": null}",1.529221773147583,"{""themes"": null}",1.5241892337799072,"{""themes"": null}",1.528480052947998,"{""themes"": null}",1.524061918258667,"{""themes"": ""governments_and_governance""}",2.1315248012542725,"{""themes"": null}",1.5292470455169678,"{""themes"": null}",1.5319340229034424,"{""themes"": null}",1.524507999420166,"{""themes"": null}",1.5286271572113037,"{""themes"": null}",1.5254559516906738,"{""themes"": null}",1.5260372161865234,"{""themes"": null}",1.5278477668762207
