"text","id","date","lang","source","predictions"
"""  As I waited to go in to meet Gen.","www_theglobeandmail_com_world_article-the-fearless-ukraine-soldiers-front-lines__20240607_112405","2024-06-07","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"""It was about ensuring the long-term health of your vineyard where your vineyard was still alive.","www_cbc_ca_news_canada_british-columbia_okanagan-wine-industry-2024-freeze-1_7419441_20241231_165355","2024-12-31","EN","headlines","{""themes"":""health"",""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Alberta Premier Danielle Smith said an export tax would be crushing and “a breaking point” for her province.","www_theglobeandmail_com_canada_alberta_article-danielle-smith-doesnt-support-tariffs-alberta-oil-gas__20241213_024333","2024-12-13","EN","headlines","{""themes"":[""governments_governance"",""foreign_trade"",""macroeconomics""],""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Although she's glad the issue is getting attention, she says she struggles with people wondering what can be done each time new data is released.","www_cbc_ca_news_canada_toronto_ontario-femicide-young-victims-1_7302542_20240824_144359","2024-08-24","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"And Beijing, which recently colluded with Russia to fly strategic bombers in the Alaskan Arctic for the first time, is undertaking a “rapid nuclear expansion” that the U.S. defence department expects to double China’s arsenal of operational warheads by 2030.","www_thestar_com_politics_federal_nuclear-war-would-turn-canada-into-one-of-the-worst-places-on-the-planet-and_article_61cf660c-4daf-11ef-89a3-b32fae1a7220_html_20240811_023432","2024-08-11","EN","headlines","{""themes"":""defense"",""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Another mourning banner hangs on another burned-out house across the street.","www_theglobeandmail_com_world_article-israelis-and-palestinians-mourn-oct-7-and-a-year-of-death-and__20241005_195352","2024-10-05","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Are they going to end catch-and-release policies that turn repeat violent offenders back onto our streets?","441276HAN276-12559435","2024-02-06","EN","parliament","{""themes"":""law_and_crime"",""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Army Herald Trumpets Major Aaron Morris during rehearsals for the inauguration on the West Front of the U.S.","www_theglobeandmail_com_world_article-trump-inauguration-2025-live-updates__20250120_174336","2025-01-20","EN","headlines","{""themes"":""defense"",""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Avec les informations de La Presse canadienne Trudeau a pris la bonne décision, dit DuclosEn entrevue à En direct avec Patrice Roy, Jean-Yves Duclos, lieutenant politique pour le Québec du Parti libéral du Canada, dit partager l’analyse du premier ministre démissionnaire Justin Trudeau.","ici_radio-canada_ca_info_en-direct_1012267_justin-trudeau-annonce-avenir-politique_20250107_055330","2025-01-07","FR","headlines","{""themes"":[""governments_governance"",""technology""],""political_parties"":""lpc"",""specific_themes"":null,""sentiment"":""positive""}"
"Before the WE Charity it was SNC-Lavalin.","441363HAN363-12966365","2024-10-31","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Bien sûr qu'il devrait y avoir des services de logement, mais si vous ne disposez pas de services d'urgence adéquats entre-temps, vous aurez encore plus de morts.","ici_radio-canada_ca_info_long-format_2127568_itinerance-refuge-hiver-inflation-campements-autochtones_20241218_140356","2024-12-18","FR","headlines","{""themes"":""housing"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"But Levy said that despite this, the city decided at the last minute to drop the endorsement for heritage designation and only preserve a small part of the building, according to documents the residents’ group obtained through a freedom of information request.","www_thestar_com_news_gta_we-are-in-this-legal-limbo-casa-loma-residents-opposing-new-development-face-a-tougher_article_2b9d8dd0-a2c7-11ef-8cc0-37b323adaafd_html_20241208_193405","2024-12-08","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"B– Martine Biron (Relations internationales, Condition féminine) a compris qu’il valait mieux améliorer l’accès à l’avortement que d’inscrire ce droit dans une loi.","www_ledevoir_com_opinion_chroniques_825418_bulletin-ministeriel_20241207_101351","2024-12-07","FR","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"C'est ce que je vais faire.","441338HAN338-12862499","2024-09-18","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"C'est la Colombie‑Britannique qui en compte le plus en raison de l'accueil fort enthousiaste de ses politiques sur les peines légères, la non-application de la loi et la distribution de drogues financées par les contribuables.","441386HAN386-13059414","2024-12-10","FR","parliament","{""themes"":""domestic_commerce"",""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"C'est la démonstration que je veux faire.La première chose que l'on voit dans la motion, c'est l'abolition de la taxe sur le carbone.","441321HAN321-12775837","2024-05-30","FR","parliament","{""themes"":""environment"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"C'est pourquoi je voudrais que le ministre fournisse une mise à jour au maire Kletke et à la société d'habitation de Trochu, parce que si ce projet avait pu être lancé il y a trois ans, il aurait coûté entre 20 % et 25 % de moins que ce qu'il coûtera maintenant, même si le nombre de logements a été réduit.","441312HAN312-12738524","2024-05-09","FR","parliament","{""themes"":[""governments_governance"",""domestic_commerce"",""housing""],""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"C'est qu'on veut que ce premier ministre reste en place encore et encore.","441342HAN342-12876629","2024-09-24","FR","parliament","{""themes"":""governments_governance"",""political_parties"":""lpc"",""specific_themes"":null,""sentiment"":""neutral""}"
"C'était immoral de ne pas nous le dire.","441311HAN311-12732543","2024-05-08","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Canada has become a massive exporter of stolen cars and a net importer of illegal firearms under the current Liberal government.","441373HAN373-13002616","2024-11-21","EN","parliament","{""themes"":""foreign_trade"",""political_parties"":""lpc"",""specific_themes"":null,""sentiment"":""negative""}"
"Ce sont 8 milliards de dollars qui ont été octroyés à du financement de la recherche en anglais.","441279HAN279-12573638","2024-02-09","FR","parliament","{""themes"":""domestic_commerce"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Ce sont des situations très difficiles avec lesquelles des Canadiens doivent composer tous les jours.","441281HAN281-12581212","2024-02-13","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Cela représente un risque non négligeable.Le budget est truffé d'ingérences dans les champs de compétence du Québec qui entraîneront des conflits liés aux champs de compétence à répétition et ralentiront la prestation de services aux citoyens.","441302HAN302-12688840","2024-04-18","FR","parliament","{""themes"":""macroeconomics"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Cette table, dont les travaux ont été suspendus en 2017, avait notamment recommandé d’adopter les mesures administratives visant le taux d’alcool de 0,05.","www_ledevoir_com_societe_821293_alcool-volant-quebec-ignore-avis-experts_20241008_041351","2024-10-08","FR","headlines","{""themes"":""labor"",""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Comme l'offre augmente sur le marché, nous devons trouver une solution.","441371HAN371-12995889","2024-11-19","FR","parliament","{""themes"":""domestic_commerce"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"C’est lui qui lui a prêté tout près de 50 millions pour rembourser ses créanciers publics, à travers une fiducie anonyme, rapportait La Presse en octobre 2023.","www_lapresse_ca_affaires_marche-immobilier_2024-07-04_tony-accurso-hante-toujours-terrebonne_php_20240704_144353","2024-07-04","FR","headlines","{""themes"":""technology"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Dans une publication sur Truth Social, M.","www_lapresse_ca_actualites_politique_2024-11-30_visite-a-mar-a-lago_trudeau-affirme-avoir-eu-une-excellente-conversation-avec-trump_php_20241201_012334","2024-12-01","FR","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"David Coon a déploré la défaite de Kevin Arseneau.","ici_radio-canada_ca_nouvelle_2114098_election-2024-resultat-liberaux-gouvernement-mn_20241022_073351","2024-10-22","FR","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Do members know how many days and weeks ago we passed this in the House, and how we had to drag the Conservative Party to get the bill out of second reading?","441298HAN298-12672821","2024-04-11","EN","parliament","{""themes"":null,""political_parties"":""cpc"",""specific_themes"":null,""sentiment"":""neutral""}"
"During his campaign, he acknowledged in a video posted online that he dumped a dead bear in New York City’s Central Park a decade ago and staged it to look like a bike had hit it.","www_theglobeandmail_com_world_article-trump-selects-robert-f-kennedy-jr-to-lead-department-of-health-and__20241114_222331","2024-11-14","EN","headlines","{""themes"":[""education"",""labor""],""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Dussault, qui estime que CAPREIT et les grandes entreprises immobilières en sont «directement responsables».","www_journaldemontreal_com_2024_11_23_voici-le-geant-de-limmobilier-qui-engorge-le-plus-le-tribunal-administratif-du-logement-au-quebec_20241123_152326","2024-11-23","FR","headlines","{""themes"":[""domestic_commerce"",""housing""],""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Elle a été éradiquée du pays il y a 17 ans et la Santé publique ne veut pas qu’elle y revienne.","www_lapresse_ca_actualites_chroniques_2024-07-17_ce-chien-mira-pourra-t-il-traverser-aux-etats-unis-en-aout_php_20240717_111410","2024-07-17","FR","headlines","{""themes"":""health"",""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Elle avait déjà accusé l'ex-président de «jouer à des jeux politiques» autour de l'ouragan Hélène.","www_journaldemontreal_com_2024_10_08_louragan-milton-pourrait-etre-la-pire-tempete-en-floride-en-un-siecle-avertit-biden_20241008_175325","2024-10-08","FR","headlines","{""themes"":[""law_and_crime"",""transportation""],""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"En 2023, nos émissions auraient été supérieures d'environ 24 millions de tonnes sans la tarification minimale du carbone, qui était en place pour la quatrième année seulement au Canada.","441321HAN321-12775236","2024-05-30","FR","parliament","{""themes"":[""education"",""environment"",""foreign_trade""],""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"En tant que président, j'ai reçu des messages de personnes qui étaient reconnaissantes d'avoir pu bénéficier de ce service, qui pouvaient à nouveau sourire, qui pouvaient aller à des entrevues d'embauche, qui pouvaient sourire à leurs petits-enfants.","441320HAN320-12773042","2024-05-29","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"Est-ce qu'il était dangereux?","441315HAN315-12750514","2024-05-22","FR","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Feed Nova Scotia reports that food bank usage is up 26%, with increased visits as high as 50% in Cape Breton.","441299HAN299-12678419","2024-04-15","EN","parliament","{""themes"":[""agriculture"",""social_welfare""],""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Foreign Minister Melanie Joly will not run for Liberal leadership.","www_ctvnews_ca_politics_foreign-affairs-minister-melanie-joly-will-not-seek-liberal-leadership-1_7171212_20250110_171329","2025-01-10","EN","headlines","{""themes"":""governments_governance"",""political_parties"":""lpc"",""specific_themes"":null,""sentiment"":""neutral""}"
"He called the day’s events a wake-up call for the Liberal Party, but declined to say if Mr.","www_theglobeandmail_com_politics_article-chrystia-freeland-resigns-as-minister-of-finance__20241217_060331","2024-12-17","EN","headlines","{""themes"":null,""political_parties"":""lpc"",""specific_themes"":null,""sentiment"":""neutral""}"
"He said, “In the Constitution we propose to continue the system of Responsible Government, which has existed in this province since 1841, and which has long obtained in the Mother Country.","441363HAN363-12966847","2024-10-31","EN","parliament","{""themes"":""governments_governance"",""political_parties"":null,""specific_themes"":null,""sentiment"":""positive""}"
"He went to Longueuil, Montreal and Quebec City to insult the mayors and demonstrate his total lack of knowledge of how the system works.","441271HAN271-12538742","2024-01-30","EN","parliament","{""themes"":""governments_governance"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Here are the Auditor General's words, hot off the press, just tabled here this morning, on this green slush fund scandal.","441324HAN324-12790119","2024-06-04","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Here’s how to spot them The Canadian Taxi Association is warning customers about scams involving fake roof signs that have recently been reported in several cities.","globalnews_ca_news_10702406_top-stories-this-week-august-16__20240818_021332","2024-08-18","EN","headlines","{""themes"":[""defense"",""transportation""],""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Herzi Halevi, said Saturday that the elimination of Nasrallah was “not the end of our toolbox,” indicating that more strikes were planned.","globalnews_ca_news_10784177_hezbollah-leader-hassan-nasrallah-killed-israeli-airstrike__20240928_123331","2024-09-28","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"However, when my other grandparents, Joseph and Doris Soroka, came in 1929, there were actually two pages.","441273HAN273-12549664","2024-02-01","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Hunter Biden's lawyer said at a recent hearing that he was struggling to line up expert witnesses willing to testify in the high-profile case in Los Angeles.","www_cbc_ca_news_world_hunter-biden-legal-woes-1_7232135_20240612_064433","2024-06-12","EN","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"I remember that because factories and businesses were closed in my community.","441353HAN353-12925534","2024-10-10","EN","parliament","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"I represent a Montreal riding that includes a handful of subway stations equipped with elevators.","441348HAN348-12901847","2024-10-03","EN","parliament","{""themes"":""transportation"",""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"I wonder if the member could comment on this new revelation and on whether she knew of this information, as a Liberal MP, before it was released today.","441331HAN331-12824443","2024-06-13","EN","parliament","{""themes"":null,""political_parties"":""lpc"",""specific_themes"":null,""sentiment"":""neutral""}"
"If we look at those early months, when the government said that any limitations on what happens at the border would be unacceptable.","441272HAN272-12543729","2024-01-31","EN","parliament","{""themes"":""immigration"",""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
"Il a accordé 18 millions de dollars en primes à ses cadres alors que la confiance du public, les auditoires et les revenus publicitaires sont en déclin.","441377HAN377-13022287","2024-11-27","FR","parliament","{""themes"":[""labor"",""macroeconomics""],""political_parties"":null,""specific_themes"":null,""sentiment"":""neutral""}"
"Il avait un œil au beurre noir, tu voyais qu’il avait mangé des coups.","www_tvanouvelles_ca_2024_12_31_cest-un-milieu-ou-il-y-a-de-la-violence-sinquiete-la-famille-dun-sans-abri-victime-dun-meurtre_20240929_004405","2024-09-29","FR","headlines","{""themes"":null,""political_parties"":null,""specific_themes"":null,""sentiment"":""negative""}"
