body,body_id_for_llm,qwen,qwen_inference_time
"“There are many values that we share in common with the Green Party and I am committed to working with them,” NDP Leader David Eby said Saturday.",1,"{""themes"": [""governments_and_governance"", ""environment_and_energy""]}",29.47705908305943
"Customs and Border Protection, in the last fiscal year, U.S. border patrol officers stopped people 23,721 times trying to cross illegally from Canada, more than double the 10,021 the year before.",2,"{""themes"": [""law_and_crime"", ""international_affairs_and_defense""]}",2.7780227919574827
The Conservatives have been leading a procedural protest since Sept. 26 over the Liberal government’s refusal to fully comply with a June House of Commons motion calling on it to release documents related to a green technology fund.,3,"{""themes"": [""governments_and_governance"", ""environment_and_energy""]}",2.7662549579981714
American voters and the rest of the world are about to get to know Minnesota Gov.,4,"{""themes"": [""governments_and_governance"", ""international_affairs_and_defense""]}",2.7654353328980505
The Liberal Party declined to say whether it would change the rules for the leadership race and defended its existing policies for members.,5,"{""themes"": [""governments_and_governance""]}",2.0090882079675794
“We want to bring pharmaceuticals back to the country.,6,"{""themes"": [""health_and_social_services"", ""economy_and_labour""]}",2.3769500418566167
"Spending on hobbies, toys and games scaled back notably after Nov. 21, wrote RBC economist Carrie Freestone — the day the tax break was announced.",7,"{""themes"": [""economy_and_labour""]}",2.092584416968748
The crowd cheered as he got back up and pumped his fist.,8,"{""themes"": [""null""]}",1.4240680418442935
"“The redesign is focused on the delivery of high-quality services and prioritizing the safety, protection and needs of children, youth and families,” the government said in response to questions from Global News.",9,"{""themes"": [""health_and_social_services""]}",1.9944714161101729
"“I’m not yet convinced on Mark Carney,” said one MP who, like many others, believes the party would be best served by a new leader with broad experience in the business sector and who has political experience and who would also move the Liberals to the centre of the political spectrum.",10,"{""themes"": [""governments_and_governance"", ""economy_and_labour""]}",2.9701632920186967
Miller is one of several ministers who fanned out across the country Wednesday to make announcements but faced a wave of questions about Trudeau’s political future.,11,"{""themes"": [""governments_and_governance""]}",2.278102583019063
"There’s also a problem with barely discernible markings, Preisler added.",12,"{""themes"": [""null""]}",1.425744874868542
"Trump's last vice president wouldn't let him cancel the election, refusing Trump's pressure, and defying the demands of an angry crowd that called for his hanging on Jan.",13,"{""themes"": [""law_and_crime"", ""governments_and_governance""]}",2.8587617080193013
"On Thursday, high profile BC United MLAs Todd Stone and Shirley Bond announced they would withdraw from the coming election; Mr.",14,"{""themes"": [""governments_and_governance"", ""rights_liberties_minorities_discrimination""]}",2.9655750831589103
"And this garage isn’t exactly heated, but they, other than some staining and some, you know, wear and tear, that probably came from having them as kids, they’re actually pretty well preserved.”",15,"{""themes"": null}",1.613704582909122
"She found his version rather implausible and, on the contrary, found that the version of the defendant, Madame Charette, was credible.”",16,"{""themes"": [""law_and_crime""]}",1.9947067499160767
"Gage, a lawyer with the group, said, “2021 was a wake-up call in B.C., where we had the heat dome in which more than 600 people died.",17,"{""themes"": [""health_and_social_services"", ""environment_and_energy""]}",2.4775327499955893
"In that respect, Sheldrick said it likely means less to passenger-vehicle transportation, where electric vehicles seem to be a better fit, and more to uses that require more power.",18,"{""themes"": [""environment_and_energy"", ""technology""]}",2.1878737090155482
"And while Liberal MPs were promised some sort of marketing campaign to boost their fortunes, the Conservatives produced slick TV ads that aired on legacy television networks.",19,"{""themes"": [""governments_and_governance"", ""public_lands_and_agriculture""]}",3.143881500000134
Carney launched his campaign in a small room packed with supporters and several Liberal MPs.,20,"{""themes"": [""governments_and_governance""]}",2.0026457919739187
"“This abscondence of funds is concerning to KingSett that given the fact that (the borrowers) are indebted to KingSett for a combined $220,951,550.21” on the Richmond and Burnaby projects, the petition says.",21,"{""themes"": [""law_and_crime"", ""economy_and_labour""]}",2.684244917007163
"A majority also doubt his mental capability to be president, though that is also a weakness for Trump.",22,"{""themes"": [""health_and_social_services"", ""rights_liberties_minorities_discrimination""]}",2.6722054157871753
It would be like a rose placed on each grave.”,23,"{""themes"": [""culture_and_nationalism"", ""health_and_social_services""]}",2.3761925839353353
"The provincial government, meanwhile, has been participating in talks with Hypertec and city of Montreal officials on the issue, and a spokesperson for Environment Minister Benoit Charette said the minister is open to the idea of his department contributing to the purchase of the lands.",24,"{""themes"": [""public_lands_and_agriculture"", ""governments_and_governance""]}",3.16046812501736
"""It's nice to see a lot of people visiting, bringing their fashion and then adopting some styles as well.",25,"{""themes"": [""culture_and_nationalism""]}",1.815372415818274
"The appointment follows a decision by Liberals to focus on affordability and economic issues ahead of the federal election, expected at any time in the next year.",26,"{""themes"": [""governments_and_governance"", ""economy_and_labour""]}",2.9497207500971854
