body,body_id_for_llm,public_lands_and_agriculture,public_lands_and_agriculture_inference_time,culture_and_nationalism,culture_and_nationalism_inference_time,law_and_crime,law_and_crime_inference_time,immigration,immigration_inference_time,governments_and_governance,governments_and_governance_inference_time,rights_liberties_minorities_discrimination,rights_liberties_minorities_discrimination_inference_time,health_and_social_services,health_and_social_services_inference_time,education,education_inference_time,economy_and_labour,economy_and_labour_inference_time,technology,technology_inference_time,international_affairs_and_defense,international_affairs_and_defense_inference_time,environment_and_energy,environment_and_energy_inference_time
"“There are many values that we share in common with the Green Party and I am committed to working with them,” NDP Leader David Eby said Saturday.",1,"{""themes"": null}",37.32012629508972,"{""themes"": [""null""]}",4.689745187759399,"{""themes"": [""null""]}",4.6137940883636475,"{""themes"": [""null""]}",4.56543493270874,"{""themes"": [""governments_and_governance""]}",5.346608877182007,"{""themes"": [""rights_liberties_minorities_discrimination""]}",5.756068706512451,"{""themes"": [""null""]}",4.887228012084961,"{""themes"": [""null""]}",4.5598530769348145,"{""themes"": null}",4.985295057296753,"{""themes"": [""null""]}",4.502012014389038,"{""themes"": [""null""]}",4.701746940612793,"{""themes"": [""environment_and_energy""]}",4.891071796417236
"Customs and Border Protection, in the last fiscal year, U.S. border patrol officers stopped people 23,721 times trying to cross illegally from Canada, more than double the 10,021 the year before.",2,"{""themes"": null}",1.220324993133545,"{""themes"": [""culture_and_nationalism""]}",1.6554579734802246,"{""themes"": [""law_and_crime""]}",1.5548388957977295,"{""themes"": [""immigration""]}",1.3622291088104248,"{""themes"": [""governments_and_governance""]}",1.603417158126831,"{""themes"": [""rights_liberties_minorities_discrimination""]}",1.9465110301971436,"{""themes"": [""null""]}",1.3141639232635498,"{""themes"": [""null""]}",1.3123960494995117,"{""themes"": [""economy_and_labour""]}",1.612591028213501,"{""themes"": [""null""]}",1.310129165649414,"{""themes"": [""international_affairs_and_defense""]}",1.7506771087646484,"{""themes"": null}",1.2167251110076904
The Conservatives have been leading a procedural protest since Sept. 26 over the Liberal government’s refusal to fully comply with a June House of Commons motion calling on it to release documents related to a green technology fund.,3,"{""themes"": null}",1.2058930397033691,"{""themes"": [""culture_and_nationalism""]}",1.6396331787109375,"{""themes"": [""law_and_crime""]}",1.5435757637023926,"{""themes"": null}",1.1992676258087158,"{""themes"": [""governments_and_governance""]}",1.590885877609253,"{""themes"": [""rights_liberties_minorities_discrimination""]}",1.938246250152588,"{""themes"": null}",1.2057230472564697,"{""themes"": [""null""]}",1.2994401454925537,"{""themes"": null}",1.2061800956726074,"{""themes"": [""null""]}",1.2977609634399414,"{""themes"": [""null""]}",1.2974560260772705,"{""themes"": [""environment_and_energy""]}",1.494292974472046
American voters and the rest of the world are about to get to know Minnesota Gov.,4,"{""themes"": [null]}",1.2075238227844238,"{""themes"": [""null""]}",1.2128751277923584,"{""themes"": [""null""]}",1.2086100578308105,"{""themes"": [""null""]}",1.208636999130249,"{""themes"": [""governments_and_governance""]}",1.4997591972351074,"{""themes"": [""null""]}",1.2122588157653809,"{""themes"": [null]}",1.2061820030212402,"{""themes"": [""null""]}",1.2034471035003662,"{""themes"": null}",1.116513967514038,"{""themes"": [""null""]}",1.2133300304412842,"{""themes"": [""null""]}",1.2136337757110596,"{""themes"": [""null""]}",1.2120051383972168
The Liberal Party declined to say whether it would change the rules for the leadership race and defended its existing policies for members.,5,"{""themes"": null}",1.1308221817016602,"{""themes"": null}",1.1299898624420166,"{""themes"": [""law_and_crime""]}",1.4708020687103271,"{""themes"": null}",1.1303000450134277,"{""themes"": [""governments_and_governance""]}",1.5171267986297607,"{""themes"": [""null""]}",1.2264409065246582,"{""themes"": null}",1.1302897930145264,"{""themes"": null}",1.1246426105499268,"{""themes"": [""null""]}",1.228200912475586,"{""themes"": [""null""]}",1.228090763092041,"{""themes"": [null]}",1.2276389598846436,"{""themes"": null}",1.130763053894043
“We want to bring pharmaceuticals back to the country.,6,"{""themes"": [null]}",1.1933460235595703,"{""themes"": [""culture_and_nationalism""]}",1.532094955444336,"{""themes"": [""null""]}",1.1926472187042236,"{""themes"": null}",1.0930538177490234,"{""themes"": [""governments_and_governance""]}",1.4909207820892334,"{""themes"": null}",1.1002860069274902,"{""themes"": [""health_and_social_services""]}",1.4911489486694336,"{""themes"": [""education""]}",1.2386040687561035,"{""themes"": [""economy_and_labour""]}",1.4897511005401611,"{""themes"": [""null""]}",1.1946377754211426,"{""themes"": [""null""]}",1.1915006637573242,"{""themes"": [null]}",1.1956501007080078
"Spending on hobbies, toys and games scaled back notably after Nov. 21, wrote RBC economist Carrie Freestone — the day the tax break was announced.",7,"{""themes"": null}",1.1981868743896484,"{""themes"": [""null""]}",1.2913877964019775,"{""themes"": [""null""]}",1.2902579307556152,"{""themes"": [null]}",1.2910778522491455,"{""themes"": null}",1.199172019958496,"{""themes"": null}",1.1975939273834229,"{""themes"": null}",1.1946351528167725,"{""themes"": null}",1.1922638416290283,"{""themes"": [""economy_and_labour""]}",1.5850701332092285,"{""themes"": [""null""]}",1.2921757698059082,"{""themes"": [null]}",1.2923593521118164,"{""themes"": null}",1.1957099437713623
The crowd cheered as he got back up and pumped his fist.,8,"{""themes"": null}",1.104816198348999,"{""themes"": null}",1.108670949935913,"{""themes"": [null]}",1.2032451629638672,"{""themes"": null}",1.1042039394378662,"{""themes"": [null]}",1.2050209045410156,"{""themes"": null}",1.101801872253418,"{""themes"": null}",1.1014752388000488,"{""themes"": [null]}",1.2010858058929443,"{""themes"": null}",1.1113100051879883,"{""themes"": [null]}",1.2005879878997803,"{""themes"": [null]}",1.2052319049835205,"{""themes"": null}",1.1034491062164307
"“The redesign is focused on the delivery of high-quality services and prioritizing the safety, protection and needs of children, youth and families,” the government said in response to questions from Global News.",9,"{""themes"": null}",1.1984620094299316,"{""themes"": [""null""]}",1.2955870628356934,"{""themes"": [""law_and_crime""]}",1.5370700359344482,"{""themes"": [""null""]}",1.2936968803405762,"{""themes"": [""governments_and_governance""]}",1.5858190059661865,"{""themes"": [""rights_liberties_minorities_discrimination""]}",1.929779052734375,"{""themes"": [""health_and_social_services""]}",1.5842807292938232,"{""themes"": [""education""]}",1.339737892150879,"{""themes"": [""economy_and_labour""]}",1.588942289352417,"{""themes"": [""null""]}",1.2934231758117676,"{""themes"": [""null""]}",1.2964098453521729,"{""themes"": [""null""]}",1.2932767868041992
"“I’m not yet convinced on Mark Carney,” said one MP who, like many others, believes the party would be best served by a new leader with broad experience in the business sector and who has political experience and who would also move the Liberals to the centre of the political spectrum.",10,"{""themes"": null}",1.2159638404846191,"{""themes"": [""null""]}",1.3121249675750732,"{""themes"": [""null""]}",1.3129689693450928,"{""themes"": null}",1.2139179706573486,"{""themes"": [""governments_and_governance""]}",1.6062538623809814,"{""themes"": null}",1.217465877532959,"{""themes"": null}",1.2180631160736084,"{""themes"": [""null""]}",1.312082052230835,"{""themes"": [""economy_and_labour""]}",1.6080491542816162,"{""themes"": [""null""]}",1.313521146774292,"{""themes"": [""null""]}",1.3121209144592285,"{""themes"": null}",1.2202160358428955
