body,body_id_for_llm,nemotron,nemotron_inference_time
"“There are many values that we share in common with the Green Party and I am committed to working with them,” NDP Leader David Eby said Saturday.",1,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": [""NDP"", ""GPC""], ""specific_themes"": ""null""}",37.15518462494947
"Customs and Border Protection, in the last fiscal year, U.S. border patrol officers stopped people 23,721 times trying to cross illegally from Canada, more than double the 10,021 the year before.",2,"{""themes"": [""immigration"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.562393333995715
The Conservatives have been leading a procedural protest since Sept. 26 over the Liberal government’s refusal to fully comply with a June House of Commons motion calling on it to release documents related to a green technology fund.,3,"{""themes"": [""government_operations"", ""environment""], ""sentiment"": ""neutral"", ""political_parties"": [""CPC"", ""LPC""], ""specific_themes"": null}",4.943456584005617
American voters and the rest of the world are about to get to know Minnesota Gov.,4,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",3.8865701660397463
The Liberal Party declined to say whether it would change the rules for the leadership race and defended its existing policies for members.,5,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": null}",3.994087541010231
“We want to bring pharmaceuticals back to the country.,6,"{""themes"": [""health"", ""macroeconomics""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",4.446381499990821
"Spending on hobbies, toys and games scaled back notably after Nov. 21, wrote RBC economist Carrie Freestone — the day the tax break was announced.",7,"{""themes"": [""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": ""public_finance""}",4.455899625027087
The crowd cheered as he got back up and pumped his fist.,8,"{""themes"": [""null""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.164599459036253
"“The redesign is focused on the delivery of high-quality services and prioritizing the safety, protection and needs of children, youth and families,” the government said in response to questions from Global News.",9,"{""themes"": [""social_welfare"", ""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": [""welfare_state""]}",5.018601167015731
"“I’m not yet convinced on Mark Carney,” said one MP who, like many others, believes the party would be best served by a new leader with broad experience in the business sector and who has political experience and who would also move the Liberals to the centre of the political spectrum.",10,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": [""null""]}",22.123207417025696
Miller is one of several ministers who fanned out across the country Wednesday to make announcements but faced a wave of questions about Trudeau’s political future.,11,"{""themes"": [""government_operations"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": null}",5.0214312500320375
"There’s also a problem with barely discernible markings, Preisler added.",12,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.1733053749776445
"Trump's last vice president wouldn't let him cancel the election, refusing Trump's pressure, and defying the demands of an angry crowd that called for his hanging on Jan.",13,"{""themes"": [""law_and_crime"", ""international_affairs""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",5.034355041978415
"On Thursday, high profile BC United MLAs Todd Stone and Shirley Bond announced they would withdraw from the coming election; Mr.",14,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",27.104970499989577
"And this garage isn’t exactly heated, but they, other than some staining and some, you know, wear and tear, that probably came from having them as kids, they’re actually pretty well preserved.”",15,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.46877899998799
"She found his version rather implausible and, on the contrary, found that the version of the defendant, Madame Charette, was credible.”",16,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.745365042006597
"Gage, a lawyer with the group, said, “2021 was a wake-up call in B.C., where we had the heat dome in which more than 600 people died.",17,"{""themes"": [""environment"", ""health""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.750459833012428
"In that respect, Sheldrick said it likely means less to passenger-vehicle transportation, where electric vehicles seem to be a better fit, and more to uses that require more power.",18,"{""themes"": [""transportation"", ""energy""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.3686123749939725
"And while Liberal MPs were promised some sort of marketing campaign to boost their fortunes, the Conservatives produced slick TV ads that aired on legacy television networks.",19,"{""themes"": [""government_operations"", ""domestic_commerce""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC"", ""CPC""], ""specific_themes"": null}",5.221929833001923
Carney launched his campaign in a small room packed with supporters and several Liberal MPs.,20,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": ""null""}",4.267342916980851
"“This abscondence of funds is concerning to KingSett that given the fact that (the borrowers) are indebted to KingSett for a combined $220,951,550.21” on the Richmond and Burnaby projects, the petition says.",21,"{""themes"": [""domestic_commerce"", ""macroeconomics""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": ""public_finance""}",5.041190957999788
"A majority also doubt his mental capability to be president, though that is also a weakness for Trump.",22,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": [""null""], ""specific_themes"": ""null""}",50.3102915409836
It would be like a rose placed on each grave.”,23,"{""themes"": [""null""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",19.32379737496376
"The provincial government, meanwhile, has been participating in talks with Hypertec and city of Montreal officials on the issue, and a spokesperson for Environment Minister Benoit Charette said the minister is open to the idea of his department contributing to the purchase of the lands.",24,"{""themes"": [""environment"", ""government_operations"", ""public_lands""], ""sentiment"": ""neutral"", ""political_parties"": [""PLQ""], ""specific_themes"": null}",5.054596916015726
"""It's nice to see a lot of people visiting, bringing their fashion and then adopting some styles as well.",25,"{""themes"": [""culture""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",3.896090291964356
"The appointment follows a decision by Liberals to focus on affordability and economic issues ahead of the federal election, expected at any time in the next year.",26,"{""themes"": [""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": [""public_finance""]}",4.654953832970932
"Earlier Saturday, Alberta Premier Danielle Smith told her provincewide radio call-in show that she'd like to see bus tours organized for evacuated residents of Jasper so they can see the damage the wildfire did to their town for themselves, and so they'll know what to expect when they're eventually allowed to return home.",27,"{""themes"": [""environment"", ""transportation"", ""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",5.336625874973834
"Lebanon’s Health Ministry said more than 2,900 people have been killed since Oct. 8, 2023, when Hezbollah began firing rockets into Israel, drawing retaliation.",28,"{""themes"": [""health"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.460166749951895
"“Despite efforts to assist, it is with great sadness that we confirm the officer has passed away,” the memo said.",29,"{""themes"": [""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",4.001892415981274
"The new customs rule applies to truck convoys chartered by the United Nations to take aid from Jordan to Gaza via Israel, seven people familiar with the matter said.",30,"{""themes"": [""international_affairs"", ""transportation""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.556523334002122
Marina Homes' Fort Erie development is listed on the Ontario Builder Registry as Marina (Green Acres) Development Inc.,31,"{""themes"": [""housing""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",3.9937809589901008
Trudeau had been at odds for “the past number of weeks.”,32,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": ""null""}",4.267971125023905
He’s also consistently losing popularity polls to Conservative Leader Pierre Poilievre — a phenomenon that didn’t really happen with prior Conservative leaders Andrew Scheer and Erin O’Toole.,33,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": [""CPC"", ""LPC""], ""specific_themes"": ""null""}",4.649984624993522
"Two months later, it was awarded a $7.3-million default judgment in that case when no defence was filed.",34,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.472055457998067
You can check Vancouver community centre holiday hours at vancouver.ca.,35,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.170905083999969
"“It’s very similar to Gavin Newsom,” he continues, comparing Trudeau to the democratic governor of California, a traditionally progressive stronghold.",36,"{""themes"": [""international_affairs"", ""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC"", ""null (référence implicite à un parti démocratique américain, sans mention explicite d'un parti canadien autre que LPC par association avec Trudeau)""], ""specific_themes"": null}",7.992590208014008
"“All things aside, it’s a pretty serious conversation,” Caufield said about wearing No.",37,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",3.890106957987882
"There's a good chance she matches Lakatos right away, as Rivard has won the last two world titles in the 50m freestyle S10.",38,"{""themes"": [""null""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.455136500007939
He was always thoughtful and generous with his advice to me.,39,"{""themes"": [""null""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.173519375035539
"They are now 25 MLAs, down from the 28 elected in 2020 and only half of them have committed to running for re-election.",40,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.364437541982625
"Zelensky and said, “You’re a savior of the people.”",41,"{""themes"": [""international_affairs""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",4.176072750007734
That issue is at the heart of current tensions between Canada and India.,42,"{""themes"": [""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.172439082991332
London’s FTSE 100 and the STOXX 600 index of European equities were both up 1.1 per cent in early trading.,43,"{""themes"": [""macroeconomics""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": [""public_finance""]}",4.741434666037094
“It’s tough to play catchup off the back-to-backs.,44,"{""themes"": [""null""], ""sentiment"": ""negative"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",3.907098583993502
"The third process, counting of absentee ballots, is scheduled to start Monday at 9 a.m.",45,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.183775458019227
Eric Reguly: Lebanon’s economy was in dire shape even before the Israel-Hezbollah war.,46,"{""themes"": [""macroeconomics"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.824454625020735
Bastyovanszky also alleged the mayor’s office falsely claimed to city councillors and school trustees that he was under investigation by the integrity commissioner and that Sim sought to dissolve the park board because he was “unable to control decisions” of commissioners.,47,"{""themes"": [""law_and_crime"", ""government_operations""], ""sentiment"": ""negative"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",5.231098207994364
"In late May, bullet holes were found in the door of a Jewish school and synagogue.",48,"{""themes"": [""civil_rights""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",4.351006374985445
"It added that firefighting had caused ""tremendous demand"" in the region — roughly quadruple the usual demand.",49,"{""themes"": [""environment"", ""energy""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.422417207970284
"Trudeau’s cabinet, acknowledged residents’ concerns about the drug-consumption site and its proximity to a school in a statement, but said Mr.",50,"{""themes"": [""health"", ""education""], ""sentiment"": ""neutral"", ""political_parties"": ""LPC"", ""specific_themes"": null}",4.848249583039433
"In that case one of the victims is not talking to police and the other two are sedated, he said.",51,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.905565250024665
"Vice-President Kamala Harris says she'd find a place in her cabinet for a Republican if elected president, though she told CNN in a sit-down interview that she didn't have a specific individual in mind.",52,"{""themes"": [""government_operations"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",21.599327125004493
"“Whatever political or ideological differences exist between us,” Carr wrote, “we have a larger collective responsibility to maintain a climate of respect  —  one free from hate and intimidation  —  on our campuses.”  jfeith@postmedia.com",53,"{""themes"": [""education"", ""civil_rights""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",5.110159415984526
• Expand services for students with dyslexia and other learning challenges.,54,"{""themes"": [""education""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": [""early_learning_childcare""]}",4.483587874972727
Biden's motivation for running was deeply intertwined with Trump.,55,"{""themes"": [""international_affairs"", ""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.9973382909665816
"It also was the first power-play goal this season by a Montreal rearguard, and the first since Jan. 20, 2024, also scored by Matheson, during a 9-4 drubbing at Boston.",56,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.578130542009603
"Either result would have major implications for Canada, particularly on the economy and immigration but also on foreign policy.",57,"{""themes"": [""macroeconomics"", ""immigration"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",5.431017333001364
Just under half of respondents supported teenagers receiving gender-affirming care such as counselling and hormone replacement treatment with parental consent.,58,"{""themes"": [""health"", ""civil_rights""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.432825625000987
“That ultimately you need shared values.,59,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.100658042007126
Angela Johnston has more on how it could play out.,60,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.481174124986865
"It has featured anti-Israel protests since the October 7 massacre, including last December, when two men were later arrested and charged (although charges against one of the men were later dropped).",61,"{""themes"": [""international_affairs"", ""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",5.034395332972053
The crowds downtown will be thinning out if the TTC goes on strike.,62,"{""themes"": [""transportation"", ""labor""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",4.618166917003691
This newsletter is your weekly guide to what we’re doing about it.,63,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.076758582959883
"Trump was injured after a shooting unfolded during a rally in Butler, Pa., on Saturday that left two people dead, including the shooter.",64,"{""themes"": [""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.614781124982983
"Thursday’s byelection came with Ford’s PCs riding high in the Star’s August Abacus public opinion poll, with 42 per cent support despite challenges including an RCMP investigation into his government’s $8.28 billion Greenbelt land swap scandal.",65,"{""themes"": [""government_operations"", ""environment"", ""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": [""PCQ""], ""specific_themes"": [""public_finance""]}",5.580640832951758
“Users must be addressed in French.,66,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",3.97931345901452
TRCA advises people to avoid all recreational activities in or around water as conditions can change rapidly.,67,"{""themes"": [""environment"", ""public_lands""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.750169957987964
"She’s now looking at other options, even if they’re pricier.",68,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.247482416976709
"But according to the law society's decision to provisionally suspend him, Cartel ""appears to have misled"" another lawyer who was trying to track down money on behalf of a client, did not take reasonable steps to investigate when faced with evidence his firm's finances were awry, and failed to deliver bank account statements demanded by a law society auditor.",69,"{""themes"": [""law_and_crime""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",4.664560208970215
"He was inducted into the Canadian Business Hall of Fame in 1996 and into the U.S.-based Automotive Hall of Fame in 2018, and was made a member of the Order of Canada in 1999.",70,"{""themes"": [""null""], ""sentiment"": ""positive"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.223270791000687
A turn back toward the Harper years?,71,"{""themes"": [""macroeconomics"", ""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": ""CPC"", ""specific_themes"": null}",4.454438458022196
The bank also projects that Ottawa’s deficit for this year will be bigger than initial projections.,72,"{""themes"": [""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": [""public_finance""]}",4.455540499999188
"""Where is she locating herself relative to other Canadian efforts?""",73,"{""themes"": [""international_affairs"", ""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.744046374980826
