body,body_id_for_llm,public_lands_and_agriculture,public_lands_and_agriculture_inference_time,culture_and_nationalism,culture_and_nationalism_inference_time,law_and_crime,law_and_crime_inference_time,immigration,immigration_inference_time,governments_and_governance,governments_and_governance_inference_time,rights_liberties_minorities_discrimination,rights_liberties_minorities_discrimination_inference_time,health_and_social_services,health_and_social_services_inference_time,education,education_inference_time,economy_and_labour,economy_and_labour_inference_time,technology,technology_inference_time,international_affairs_and_defense,international_affairs_and_defense_inference_time,environment_and_energy,environment_and_energy_inference_time
"“There are many values that we share in common with the Green Party and I am committed to working with them,” NDP Leader David Eby said Saturday.",1,"{""themes"": null}",7.638190269470215,"{""themes"": null}",4.3292930126190186,"{""themes"": null}",4.33820915222168,"{""themes"": null}",4.329674959182739,"{""themes"": [""governments_and_governance""]}",5.295199871063232,"{""themes"": null}",4.694759845733643,"{""themes"": null}",4.337549924850464,"{""themes"": null}",4.3195719718933105,"{""themes"": null}",4.680749893188477,"{""themes"": null}",4.011484146118164,"{""themes"": null}",4.318715333938599,"{""themes"": [""environment_and_energy""]}",4.580132007598877
"Customs and Border Protection, in the last fiscal year, U.S. border patrol officers stopped people 23,721 times trying to cross illegally from Canada, more than double the 10,021 the year before.",2,"{""themes"": null}",1.5201919078826904,"{""themes"": null}",1.5171589851379395,"{""themes"": ""law_and_crime""}",1.8616008758544922,"{""themes"": ""immigration""}",1.6896252632141113,"{""themes"": [""governments_and_governance""]}",2.1206700801849365,"{""themes"": null}",1.5262248516082764,"{""themes"": null}",1.5174000263214111,"{""themes"": null}",1.5161962509155273,"{""themes"": ""null""}",1.602658987045288,"{""themes"": null}",1.5124950408935547,"{""themes"": ""international_affairs_and_defense""}",2.0295050144195557,"{""themes"": null}",1.5170941352844238
The Conservatives have been leading a procedural protest since Sept. 26 over the Liberal government’s refusal to fully comply with a June House of Commons motion calling on it to release documents related to a green technology fund.,3,"{""themes"": null}",1.5173609256744385,"{""themes"": null}",1.5169777870178223,"{""themes"": ""law_and_crime""}",1.8578360080718994,"{""themes"": null}",1.5164909362792969,"{""themes"": ""governments_and_governance""}",2.1198883056640625,"{""themes"": null}",1.5200741291046143,"{""themes"": null}",1.5196189880371094,"{""themes"": null}",1.5150878429412842,"{""themes"": ""null""}",1.602797269821167,"{""themes"": [""technology""]}",1.5996828079223633,"{""themes"": null}",1.513655662536621,"{""themes"": [""environment_and_energy""]}",1.7702960968017578
American voters and the rest of the world are about to get to know Minnesota Gov.,4,"{""themes"": null}",1.2339491844177246,"{""themes"": null}",1.235806941986084,"{""themes"": null}",1.2355320453643799,"{""themes"": null}",1.234476089477539,"{""themes"": ""governments_and_governance""}",1.835925579071045,"{""themes"": null}",1.234576940536499,"{""themes"": null}",1.2338252067565918,"{""themes"": null}",1.2350337505340576,"{""themes"": null}",1.2344090938568115,"{""themes"": null}",1.2311840057373047,"{""themes"": null}",1.2340750694274902,"{""themes"": null}",1.2329769134521484
The Liberal Party declined to say whether it would change the rules for the leadership race and defended its existing policies for members.,5,"{""themes"": null}",1.2414281368255615,"{""themes"": null}",1.2396740913391113,"{""themes"": null}",1.24015212059021,"{""themes"": null}",1.245002031326294,"{""themes"": [""governments_and_governance""]}",1.8446381092071533,"{""themes"": null}",1.2449228763580322,"{""themes"": null}",1.2393319606781006,"{""themes"": null}",1.2404701709747314,"{""themes"": null}",1.2411439418792725,"{""themes"": null}",1.2374930381774902,"{""themes"": null}",1.2383060455322266,"{""themes"": null}",1.2407732009887695
“We want to bring pharmaceuticals back to the country.,6,"{""themes"": null}",1.2295639514923096,"{""themes"": null}",1.2281720638275146,"{""themes"": null}",1.2304539680480957,"{""themes"": null}",1.229682207107544,"{""themes"": ""null""}",1.3179280757904053,"{""themes"": null}",1.2316279411315918,"{""themes"": ""health_and_social_services""}",1.5722968578338623,"{""themes"": null}",1.2260818481445312,"{""themes"": ""economy_and_labour""}",1.6576061248779297,"{""themes"": null}",1.2263853549957275,"{""themes"": null}",1.2271058559417725,"{""themes"": null}",1.2300760746002197
"Spending on hobbies, toys and games scaled back notably after Nov. 21, wrote RBC economist Carrie Freestone — the day the tax break was announced.",7,"{""themes"": null}",1.5185151100158691,"{""themes"": null}",1.5166478157043457,"{""themes"": null}",1.5130128860473633,"{""themes"": null}",1.5141870975494385,"{""themes"": null}",1.5182151794433594,"{""themes"": null}",1.5175323486328125,"{""themes"": null}",1.5161430835723877,"{""themes"": null}",1.5134289264678955,"{""themes"": ""economy_and_labour""}",1.9450311660766602,"{""themes"": null}",1.512449026107788,"{""themes"": null}",1.5119249820709229,"{""themes"": null}",1.5164730548858643
The crowd cheered as he got back up and pumped his fist.,8,"{""themes"": null}",1.235496997833252,"{""themes"": null}",1.2312371730804443,"{""themes"": null}",1.2320950031280518,"{""themes"": null}",1.232726812362671,"{""themes"": null}",1.2350070476531982,"{""themes"": null}",1.233476161956787,"{""themes"": null}",1.2318289279937744,"{""themes"": null}",1.2308058738708496,"{""themes"": null}",1.2335991859436035,"{""themes"": null}",1.2261450290679932,"{""themes"": null}",1.2298409938812256,"{""themes"": null}",1.2305541038513184
"“The redesign is focused on the delivery of high-quality services and prioritizing the safety, protection and needs of children, youth and families,” the government said in response to questions from Global News.",9,"{""themes"": null}",1.5189008712768555,"{""themes"": null}",1.5168461799621582,"{""themes"": null}",1.515951156616211,"{""themes"": null}",1.5150909423828125,"{""themes"": ""governments_and_governance""}",2.1220059394836426,"{""themes"": ""null""}",1.6020879745483398,"{""themes"": ""health_and_social_services""}",1.8612160682678223,"{""themes"": null}",1.5142090320587158,"{""themes"": null}",1.5138282775878906,"{""themes"": null}",1.5110089778900146,"{""themes"": null}",1.5138261318206787,"{""themes"": null}",1.5143249034881592
"“I’m not yet convinced on Mark Carney,” said one MP who, like many others, believes the party would be best served by a new leader with broad experience in the business sector and who has political experience and who would also move the Liberals to the centre of the political spectrum.",10,"{""themes"": null}",1.527216911315918,"{""themes"": null}",1.5258731842041016,"{""themes"": null}",1.5245840549468994,"{""themes"": null}",1.5271496772766113,"{""themes"": ""governments_and_governance""}",2.135572910308838,"{""themes"": null}",1.5294599533081055,"{""themes"": null}",1.527331829071045,"{""themes"": null}",1.5243897438049316,"{""themes"": ""economy_and_labour""}",1.954402208328247,"{""themes"": null}",1.5264630317687988,"{""themes"": null}",1.5218491554260254,"{""themes"": null}",1.5268819332122803
Miller is one of several ministers who fanned out across the country Wednesday to make announcements but faced a wave of questions about Trudeau’s political future.,11,"{""themes"": null}",1.514096975326538,"{""themes"": null}",1.5136568546295166,"{""themes"": null}",1.5137929916381836,"{""themes"": null}",1.513498067855835,"{""themes"": ""governments_and_governance""}",2.120074987411499,"{""themes"": null}",1.5155749320983887,"{""themes"": null}",1.5152199268341064,"{""themes"": null}",1.5118098258972168,"{""themes"": null}",1.5113890171051025,"{""themes"": null}",1.5111377239227295,"{""themes"": null}",1.5107970237731934,"{""themes"": null}",1.513941764831543
"There’s also a problem with barely discernible markings, Preisler added.",12,"{""themes"": null}",1.236314058303833,"{""themes"": null}",1.2337591648101807,"{""themes"": null}",1.233288288116455,"{""themes"": null}",1.2333638668060303,"{""themes"": null}",1.2352268695831299,"{""themes"": null}",1.2349891662597656,"{""themes"": null}",1.2338979244232178,"{""themes"": null}",1.2326059341430664,"{""themes"": null}",1.2341029644012451,"{""themes"": null}",1.2281267642974854,"{""themes"": null}",1.2338318824768066,"{""themes"": null}",1.231834888458252
"Trump's last vice president wouldn't let him cancel the election, refusing Trump's pressure, and defying the demands of an angry crowd that called for his hanging on Jan.",13,"{""themes"": null}",1.5170371532440186,"{""themes"": null}",1.5170607566833496,"{""themes"": ""law_and_crime""}",1.858090877532959,"{""themes"": null}",1.5160250663757324,"{""themes"": [""governments_and_governance""]}",2.1233551502227783,"{""themes"": ""null""}",1.6047389507293701,"{""themes"": null}",1.518312931060791,"{""themes"": null}",1.5151019096374512,"{""themes"": null}",1.5170857906341553,"{""themes"": null}",1.5126171112060547,"{""themes"": null}",1.5162250995635986,"{""themes"": null}",1.5146739482879639
"On Thursday, high profile BC United MLAs Todd Stone and Shirley Bond announced they would withdraw from the coming election; Mr.",14,"{""themes"": null}",1.2429649829864502,"{""themes"": null}",1.2421889305114746,"{""themes"": null}",1.2424557209014893,"{""themes"": null}",1.2457377910614014,"{""themes"": [""governments_and_governance""]}",1.8497591018676758,"{""themes"": null}",1.2446320056915283,"{""themes"": null}",1.24174165725708,"{""themes"": null}",1.2434422969818115,"{""themes"": null}",1.243617057800293,"{""themes"": null}",1.2418429851531982,"{""themes"": null}",1.2417700290679932,"{""themes"": null}",1.2431411743164062
"And this garage isn’t exactly heated, but they, other than some staining and some, you know, wear and tear, that probably came from having them as kids, they’re actually pretty well preserved.”",15,"{""themes"": null}",1.5175349712371826,"{""themes"": null}",1.5153100490570068,"{""themes"": null}",1.5177650451660156,"{""themes"": null}",1.5146229267120361,"{""themes"": null}",1.5193071365356445,"{""themes"": null}",1.516937017440796,"{""themes"": null}",1.5182080268859863,"{""themes"": null}",1.5148751735687256,"{""themes"": null}",1.5176870822906494,"{""themes"": null}",1.514482021331787,"{""themes"": null}",1.5148959159851074,"{""themes"": null}",1.5143861770629883
"She found his version rather implausible and, on the contrary, found that the version of the defendant, Madame Charette, was credible.”",16,"{""themes"": null}",1.5126869678497314,"{""themes"": null}",1.5129308700561523,"{""themes"": ""law_and_crime""}",1.8568618297576904,"{""themes"": null}",1.5143208503723145,"{""themes"": null}",1.5155878067016602,"{""themes"": null}",1.5159969329833984,"{""themes"": null}",1.5135540962219238,"{""themes"": null}",1.511728048324585,"{""themes"": null}",1.5119616985321045,"{""themes"": null}",1.510146141052246,"{""themes"": null}",1.5120360851287842,"{""themes"": null}",1.5136239528656006
