body,body_id_for_llm,llama,llama_inference_time
"“There are many values that we share in common with the Green Party and I am committed to working with them,” NDP Leader David Eby said Saturday.",1,"{""themes"": [""environment"", ""government_operations""], ""sentiment"": ""positive"", ""political_parties"": [""NDP"", ""GPC""], ""specific_themes"": null}",37.51164700003574
"Customs and Border Protection, in the last fiscal year, U.S. border patrol officers stopped people 23,721 times trying to cross illegally from Canada, more than double the 10,021 the year before.",2,"{""themes"": [""immigration"", ""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.630101041984744
The Conservatives have been leading a procedural protest since Sept. 26 over the Liberal government’s refusal to fully comply with a June House of Commons motion calling on it to release documents related to a green technology fund.,3,"{""themes"": [""environment"", ""government_operations""], ""sentiment"": ""negative"", ""political_parties"": [""CPC"", ""LPC""], ""specific_themes"": null}",4.919951916032005
American voters and the rest of the world are about to get to know Minnesota Gov.,4,"{""themes"": [""government_operations"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.239135249983519
The Liberal Party declined to say whether it would change the rules for the leadership race and defended its existing policies for members.,5,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": null}",3.9683134999941103
“We want to bring pharmaceuticals back to the country.,6,"{""themes"": [""health"", ""macroeconomics""], ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",4.14192504202947
"Spending on hobbies, toys and games scaled back notably after Nov. 21, wrote RBC economist Carrie Freestone — the day the tax break was announced.",7,"{""themes"": [""macroeconomics""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": ""public_finance""}",4.427140916988719
The crowd cheered as he got back up and pumped his fist.,8,"{""themes"": null, ""sentiment"": ""positive"", ""political_parties"": null, ""specific_themes"": null}",3.5707630840479396
"“The redesign is focused on the delivery of high-quality services and prioritizing the safety, protection and needs of children, youth and families,” the government said in response to questions from Global News.",9,"{""themes"": [""social_welfare"", ""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": ""welfare_state""}",5.007108292018529
"“I’m not yet convinced on Mark Carney,” said one MP who, like many others, believes the party would be best served by a new leader with broad experience in the business sector and who has political experience and who would also move the Liberals to the centre of the political spectrum.",10,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": null}",4.258301625028253
Miller is one of several ministers who fanned out across the country Wednesday to make announcements but faced a wave of questions about Trudeau’s political future.,11,"{""themes"": [""government_operations"", ""international_affairs""], ""sentiment"": ""neutral"", ""political_parties"": [""LPC""], ""specific_themes"": null}",4.725740124995355
"There’s also a problem with barely discernible markings, Preisler added.",12,"{""themes"": null, ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",3.584472500020638
"Trump's last vice president wouldn't let him cancel the election, refusing Trump's pressure, and defying the demands of an angry crowd that called for his hanging on Jan.",13,"{""themes"": [""law_and_crime"", ""civil_rights"", ""government_operations""], ""sentiment"": ""negative"", ""political_parties"": null, ""specific_themes"": null}",5.00074929202674
"On Thursday, high profile BC United MLAs Todd Stone and Shirley Bond announced they would withdraw from the coming election; Mr.",14,"{""themes"": [""government_operations""], ""sentiment"": ""neutral"", ""political_parties"": [""BC United""], ""specific_themes"": null}",3.977532082994003
"And this garage isn’t exactly heated, but they, other than some staining and some, you know, wear and tear, that probably came from having them as kids, they’re actually pretty well preserved.”",15,"{""themes"": [""null""], ""sentiment"": ""neutral"", ""political_parties"": ""null"", ""specific_themes"": ""null""}",4.1619436659966595
"She found his version rather implausible and, on the contrary, found that the version of the defendant, Madame Charette, was credible.”",16,"{""themes"": [""law_and_crime""], ""sentiment"": ""neutral"", ""political_parties"": null, ""specific_themes"": null}",4.236379458045121
